,artist,title,id,popularity,release_date,genre,duration,recommendation_score,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
959,Mark Kroos,Pedals Press the Floor,6ZvLPGxrgAabFeGauahBhV,3,2012,acoustic,284947,4.5,11,-13.353,1,0.0342,0.0468,0.868,0.087,0.482,115.962
960,Right the Stars,Computer Crimes,5yBOQZdjfU7foWA1MBFVMV,6,2012,acoustic,194387,4.5,11,-6.824,1,0.0374,0.000603,0.081,0.0888,0.264,128.043
961,Taj Mahal,Jacob's Ladder,2ZWDxvjHCTYl3Ru8QuhDbL,6,2012,acoustic,239600,4.5,7,-7.091,1,0.0376,0.53,0.0269,0.243,0.961,105.763
962,Keaton Simons,Bring It On Home to Me (feat. Lisa Creahan),0dgLPewPaTTSQf2RGGxO4U,8,2012,acoustic,173824,4.5,0,-7.022,1,0.0432,0.8,0,0.117,0.607,203.163
963,Takehara Pistol,辞世の句,3rJTC8WiGCQMuTjXUKrwUy,9,2012,acoustic,212333,4.5,1,-4.033,1,0.033,0.0262,0,0.108,0.968,134.281
1760,Jackie Mittoo,In Love with You,470JFYz4JcrO2Mvth9zDZo,0,2012,afrobeat,203333,4.5,6,-4.874,0,0.0487,0.0406,0.141,0.0528,0.925,138.627
1761,Satanique Samba Trio,Piece for throat clearing and some latin drum - peça para pigarro e conga,3SDO9DFsQS5mgorMe6o0BF,0,2012,afrobeat,149373,4.5,6,-14.121,1,0.0886,0.55,0.891,0.154,0.598,111.96
1762,Jackie Mittoo,King of the Arena,5gXXnZCIw85IMF7hHXG2bJ,0,2012,afrobeat,194720,4.5,0,-9.722,1,0.0722,0.000145,0.921,0.0925,0.82,145.997
1769,Satanique Samba Trio,Dizem Morte,4sHvpkyrfqY0ATL8aDElgW,0,2012,afrobeat,91107,4.5,2,-13.729,1,0.149,0.649,0.794,0.336,0.802,115.599
2720,Die Antwoord,DJ Hi-Tek Rulez,4Dm9MnRdy3XTiTVxNHQZdW,32,2012,alt-rock,97520,4.5,1,-7.413,1,0.705,0.0825,0,0.352,0.199,95.046
2721,Passion,You Revive Me - Live,4AN1qIXVBmlnxJ1sVmpP6y,25,2012,alt-rock,435893,4.5,2,-6.587,1,0.033,0.254,9.74E-06,0.949,0.0853,140.161
2722,Peter Furler,Psalm 23,3yP6rNZ0gdbFhey42idDgj,26,2012,alt-rock,197253,4.5,6,-5.223,1,0.0306,0.00231,2.82E-06,0.0473,0.276,129.93
2723,DIIV,Oshin (Subsume),43wB2p0oaRuhRv4XRRMl8n,30,2012,alt-rock,212213,4.5,4,-7.393,0,0.0343,0.00239,0.83,0.236,0.183,119.974
3703,Oneohtrix Point Never,Woe Is the Transgression I,549E9zf4YxHcUQ2R5oLZ1C,7,2012,ambient,524469,4.5,10,-24.915,1,0.0476,0.992,0.785,0.0785,0.0182,135.175
3704,Desiderii Marginis,Her Name Is Poverty,3GnROyrqt6W8McawVnkZuQ,15,2012,ambient,373126,4.5,1,-25.795,1,0.0453,0.952,0.883,0.13,0.0523,81.097
4689,Gehenna,Crucified One (Adp Version),3IORJ7dSxC4Rf1p2coCz47,1,2012,black-metal,235853,4.5,1,-10.276,1,0.0533,8.88E-06,0.927,0.19,0.478,128.108
4690,Alabama Shakes,Hold On,1EuvOdyyzhFUP2z3gfr6xz,52,2012,blues,226187,4.5,5,-5.425,1,0.0301,0.206,0.352,0.0852,0.546,88.299
4691,Gary Clark Jr.,Bright Lights,7aO35V27YDi4hKOL9odSya,47,2012,blues,324787,4.5,9,-1.853,0,0.0336,0.00207,2.50E-06,0.129,0.503,83.541
4692,Grace Potter & The Nocturnals,Stars,6s7sq2Quh4TxHRfdk6eFxk,48,2012,blues,215933,4.5,0,-6.918,1,0.0274,0.181,0.000783,0.0739,0.17,140.262
149794,The Ready Set,Bitter And The Sweetness,4tlfPdsaSLb2HplzvRzjYE,23,2014,punk,211747,4.5,2,-5.174,1,0.0292,0.0352,0,0.35,0.862,107.046
149795,Kamikazee,Halik (Acoustic),0F633AnURFxQSCF6hBfJy7,43,2014,punk,238253,4.5,11,-5.089,1,0.034,0.412,0,0.178,0.318,115.059
149796,Diarrhea Planet,Platinum Girls,2twWLqroYtxIvJM8hQpexz,20,2014,punk,205026,4.5,6,-2.776,1,0.145,0.00344,0.00143,0.34,0.218,160.009
240654,Joscho Stephan,Things Are Getting Better,52ZG4jRG3pW1FtPsd9eKD4,11,2016,guitar,251067,4.5,0,-8.744,1,0.0472,0.755,0.123,0.117,0.531,124.401
240655,Fennesz,Wouldn't Wanna Be Swept Away 1,3W7qXcHxPUUuZ2iwHrAyEn,10,2016,guitar,240000,4.5,5,-20.221,1,0.0363,0.942,0.94,0.541,0.0371,94.439
240656,Fennesz,I Just Want You to Stay 4,5jA4HQySfzAEWrCt1yMqes,10,2016,guitar,240000,4.5,9,-23.64,0,0.0448,0.894,0.856,0.53,0.0553,69.646
397812,Future,Unicorn Purp (feat. Young Thug & Gunna),2U3LJfQB0ALLxC7Yy0QW7l,49,2019,hip-hop,246916,4.5,11,-4.905,1,0.195,0.0158,1.41E-06,0.161,0.377,134.047
397813,Dreamville,Rembrandt...Run It Back (with JID & J. Cole feat. Vince Staples),2DjLLLV2r88a8TO0hVTVrS,48,2019,hip-hop,151827,4.5,7,-5.946,1,0.456,0.442,0.00444,0.111,0.263,140.212
397814,DJ Khaled,"Jealous (feat. Chris Brown, Lil Wayne & Big Sean)",6Dq8FZrvx9S28iyaKSwn9x,53,2019,hip-hop,255102,4.5,10,-3.684,1,0.147,0.0133,0,0.313,0.61,94.9
397815,G-Eazy,West Coast,2O8gSQ9z52tZSLJnuzjkcG,50,2019,hip-hop,139610,4.5,6,-5.156,1,0.367,0.0729,0,0.758,0.821,97.858
397816,Armani White,stick up,0Ckwx9EpWeJVV2OuwwTBvG,51,2019,hip-hop,72000,4.5,6,-4.914,1,0.357,0.36,4.73E-05,0.369,0.962,177.69
397817,Quality Control,Magellanic,1D5dKs5tA5cIUp85HJdUAC,49,2019,hip-hop,139784,4.5,2,-6.181,1,0.436,0.0182,4.80E-06,0.125,0.312,164.879
397818,BabyTron,Pro Surfers (feat. Rio Da Yung OG),08bnEn3bvfMJXcbB0zOSIv,47,2019,hip-hop,163997,4.5,1,-6.285,1,0.254,0.0312,0,0.0768,0.248,99.422
804954,Randy Travis,That's Jesus,6nvk4AmY6U4ssbwWZCxR75,13,2002,country,177933,4.5,7,-9.433,1,0.0293,0.103,0.000197,0.106,0.186,147.838
804955,Pam Tillis,Land Of The Living,2g7pjk2g0SdGOlcijj7yql,13,2002,country,211840,4.5,4,-8.419,1,0.0306,0.0353,0.0203,0.0641,0.709,118.793
804956,April Wine,Tell Me Why - Remastered,3K57oVlvAOD5DDgoxbNYH3,17,2002,country,196427,4.5,2,-6.562,1,0.0266,0.605,0,0.119,0.433,141.858
804957,Grateful Dead,"Cassidy - Live at Cow Palace, Daly City, CA, March 23, 1974",7KVQd4CFq3p0kR1x4DqQxM,14,2002,country,248627,4.5,4,-15.329,1,0.0371,0.751,0.597,0.173,0.658,146.88
1147825,The Clark Sisters,God Understands All - Live,37kSlCifgYZxUfWEMXWy0F,10,2007,gospel,192853,4.5,1,-4.792,1,0.051,0.119,2.05E-06,0.315,0.285,167.186
1147826,LaShun Pace,All Things Working,6nNWJPdVj4SJM4VSlA2Cr8,9,2007,gospel,440053,4.5,11,-4.377,0,0.167,0.00128,0,0.0799,0.685,155.102
1147827,Maurette Brown Clark,Has God Done Anything for You?,4NWM4JA0lUjGLKtx8coINd,10,2007,gospel,333387,4.5,8,-6.438,0,0.0983,0.0129,0,0.878,0.669,113.88
1147828,Maurette Brown Clark,Intro,300iSlDxBJesRLIwZFen9Y,10,2007,gospel,91400,4.5,8,-9.718,1,0.0554,0.0081,0.00478,0.514,0.519,100.076
1147829,The Rance Allen Group,Be Thou Exalted,0TM965xWTCI0fsmjtXoVaH,8,2007,gospel,355640,4.5,11,-7.072,1,0.0333,0.511,1.82E-05,0.0761,0.32,123.985
1147830,Myron Butler & Levi,Jesus Saves,3qcC1PwiO3WFcGJVHvVIFa,11,2007,gospel,316520,4.5,1,-5.146,1,0.293,0.0448,0,0.0449,0.695,113.618
